Enter the date:
Enter the list of countries (end with an empty line):
Results:
Scotland = 7981, 36 search operations, 7928 insert operations
Madagascar = 5727, 42 search operations, 7928 insert operations
Portugal = 77120, 40 search operations, 7928 insert operations
Czechia = 27895, 26 search operations, 7928 insert operations
Spain = <Not found>, 17 search operations, 7928 insert operations
Portugal = 77120, 40 search operations, 7928 insert operations
Madagascar = 5727, 42 search operations, 7928 insert operations
Denmark = <Not found>, 19 search operations, 7928 insert operations
Norway = 20959, 50 search operations, 7928 insert operations
Djibouti = 325, 30 search operations, 7928 insert operations
Uruguay = <Not found>, 13 search operations, 7928 insert operations
Uruguay = <Not found>, 13 search operations, 7928 insert operations
Kenya = <Not found>, 19 search operations, 7928 insert operations
Pakistan = <Not found>, 20 search operations, 7928 insert operations


Enter the date:
Enter the list of countries (end with an empty line):
Results:
Kazakhstan = 16821, 46 search operations, 8919 insert operations
Romania = 17672, 30 search operations, 8919 insert operations
Trinidad and Tobago = 1840, 32 search operations, 8919 insert operations
Iran = 490461, 36 search operations, 8919 insert operations
Nicaragua = 31693, 50 search operations, 8919 insert operations
Guernsey = 65, 26 search operations, 8919 insert operations
Ireland = 8881, 44 search operations, 8919 insert operations
Germany = 300683, 36 search operations, 8919 insert operations
Liechtenstein = <Not found>, 28 search operations, 8919 insert operations
Guernsey = 65, 26 search operations, 8919 insert operations
Trinidad and Tobago = 1840, 32 search operations, 8919 insert operations
Europe = 2338363, 24 search operations, 8919 insert operations
Armenia = 7547, 30 search operations, 8919 insert operations
High income = 4001294, 42 search operations, 8919 insert operations
Malta = 1764, 38 search operations, 8919 insert operations
South America = 2833576, 16 search operations, 8919 insert operations
Scotland = 7981, 36 search operations, 8919 insert operations
Madagascar = 5727, 42 search operations, 8919 insert operations
Portugal = 77120, 40 search operations, 8919 insert operations
Czechia = 27895, 26 search operations, 8919 insert operations
Spain = 154946, 36 search operations, 8919 insert operations
Portugal = 77120, 40 search operations, 8919 insert operations
Madagascar = 5727, 42 search operations, 8919 insert operations
Denmark = 8631, 40 search operations, 8919 insert operations
Norway = 20959, 50 search operations, 8919 insert operations
Djibouti = 325, 30 search operations, 8919 insert operations
Uruguay = <Not found>, 13 search operations, 8919 insert operations
Uruguay = <Not found>, 13 search operations, 8919 insert operations
Kenya = 134622, 40 search operations, 8919 insert operations
Pakistan = 761168, 42 search operations, 8919 insert operations


Enter the date:
Enter the list of countries (end with an empty line):
Results:
Kazakhstan = 16821, 46 search operations, 9910 insert operations
Romania = 17672, 30 search operations, 9910 insert operations
Trinidad and Tobago = 1840, 32 search operations, 9910 insert operations
Iran = 490461, 36 search operations, 9910 insert operations
Nicaragua = 31693, 50 search operations, 9910 insert operations
Guernsey = 65, 26 search operations, 9910 insert operations
Ireland = 8881, 44 search operations, 9910 insert operations
Germany = 300683, 36 search operations, 9910 insert operations
Liechtenstein = 84, 58 search operations, 9910 insert operations
Guernsey = 65, 26 search operations, 9910 insert operations
Trinidad and Tobago = 1840, 32 search operations, 9910 insert operations
Europe = 2338363, 24 search operations, 9910 insert operations
Armenia = 7547, 30 search operations, 9910 insert operations
High income = 4001294, 42 search operations, 9910 insert operations
Malta = 1764, 38 search operations, 9910 insert operations
South America = 2833576, 16 search operations, 9910 insert operations
Scotland = 7981, 36 search operations, 9910 insert operations
Madagascar = 5727, 42 search operations, 9910 insert operations
Portugal = 77120, 40 search operations, 9910 insert operations
Czechia = 27895, 26 search operations, 9910 insert operations
Spain = 154946, 36 search operations, 9910 insert operations
Portugal = 77120, 40 search operations, 9910 insert operations
Madagascar = 5727, 42 search operations, 9910 insert operations
Denmark = 8631, 40 search operations, 9910 insert operations
Norway = 20959, 50 search operations, 9910 insert operations
Djibouti = 325, 30 search operations, 9910 insert operations
Uruguay = 13029, 28 search operations, 9910 insert operations
Uruguay = 13029, 28 search operations, 9910 insert operations
Kenya = 134622, 40 search operations, 9910 insert operations
Pakistan = 761168, 42 search operations, 9910 insert operations
